gene	m
CD27	8
CD274	5
CD276	1
CD2AP	20
CD300LF	3
CD300LG	1
CD320	3
CD33	10
CD36	46
CD38	3
CD3D	7
CD3E	8
CD3EAP	4
CD3G	4
CD4	1
CD40	15
CD40LG	248
CD44	7
CD46	89
CD5	4
CD53	2
CD55	26
CD58	4
CD59	8
CD6	1
CD70	4
CD72	2
CD79A	8
CD79B	3
CD80	2
CD81	2
CD83	1
CD84	1
CD86	4
CD8A	1
CD9	1
CD96	5
CD99L2	1
CDA	6
CDADC1	1
CDAN1	70
CDC14A	9
CDC20	1
CDC23	2
CDC25A	1
CDC25C	2
CDC27	1
CDC34	1
CDC42	11
CDC42BPA	3
CDC42BPB	7
CDC42BPG	1
CDC42EP1	1
CDC45	20
CDC5L	3
CDC6	5
CDC7	2
CDC73	114
CDCA7	6
CDCA7L	3
CDCA8	4
CDH1	383
CDH10	2
CDH11	11
CDH12	2
CDH13	11
CDH15	9
CDH16	1
CDH18	7
CDH19	4
CDH2	11
CDH20	1
CDH23	394
cdh23tv6	11
cdh23tv8	1
CDH24	1
CDH3	34
CDH4	5
CDH5	3
CDH6	1
CDH8	4
CDH9	1
CDHR1	55
CDHR2	1
CDHR3	1
CDIP1	1
CDK1	1
CDK10	8
CDK11A	3
CDK11B	1
CDK12	7
CDK13	32
CDK16	1
CDK18	2
CDK19	1
CDK2	1
CDK20	2
CDK4	22
CDK5	5
CDK5R1	8
CDK5R2	1
CDK5RAP1	1
CDK5RAP2	31
CDK5RAP3	1
CDK6	1
CDK8	8
CDK9	2
CDKAL1	1
CDKL1	2
CDKL3	1
CDKL4	1
CDKL5	470
cdkl5tv2	1
cdkl5tv3	1
CDKN1A	8
CDKN1B	26
CDKN1C	83
CDKN2A	249
cdkn2ai3	2
CDKN2AIP	2
CDKN2B	14
CDKN2B-AS1	5
CDKN2C	2
CDKN3	1
CDO1	6
CDON	14
CDSN	16
CDT1	12
CDX1	2
CDX2	4
CDYL2	1
CEACAM1	1
CEACAM16	7
CEACAM18	1
CEACAM21	1
CEACAM4	1
CEACAM6	1
CEBPA	18
CEBPE	8
CEBPG	1
CEL	28
CELA1	2
CELA2A	4
CELF2	1
CELF4	3
CELF6	1
CELSR1	69
CELSR2	29
CELSR3	25
CEMIP	4
CEMIP2	1
CENPBD1	1
CENPE	5
CENPF	14
CENPH	1
CENPI	2
CENPJ	13
CENPT	14
CEP104	7
CEP120	10
CEP126	1
CEP128	2
CEP131	1
CEP135	5
CEP152	25
CEP162	1
CEP164	9
CEP170	3
CEP170B	5
CEP19	2
CEP192	3
CEP250	7
CEP290	317
CEP295	2
CEP350	2
CEP41	17
CEP55	3
CEP57	6
CEP57L1	1
CEP63	3
CEP68	2
CEP76	1
CEP78	11
CEP83	11
CEP85	1
CEP85L	2
CEP89	3
CEP95	1
CEP97	2
CER1	3
CERK	1
CERKL	48
CERS1	2
CERS2	1
CERS3	10
CERS6	1
CES1	5
CES2	5
CES4A	1
CETP	71
CFAP298	4
CFAP300	5
CFAP410	23
CFAP43	22
CFAP44	14
CFAP45	2
