gene	AF5	AF4	AF3	AF2	FUNC	SYN
AC073834.3	2	0	0	0	2	0
AC074091.13	30	7	1	1	79	23
AC074212.3	85	24	4	4	218	88
AC074212.5	2	0	0	0	3	0
AC074212.6	2	1	0	0	5	0
AC074389.6	46	13	1	4	120	51
AC078883.4	0	0	0	0	1	0
AC078925.1	3	5	3	2	13	11
AC079135.1	1	0	0	0	1	0
AC079210.1	14	6	0	1	53	18
AC079341.1	18	4	0	3	45	14
AC079354.1	184	42	7	5	512	170
AC079354.2	8	1	0	0	23	6
AC079602.1	0	4	1	0	5	0
AC079610.2	1	0	0	0	2	0
AC079612.1	43	7	1	4	108	40
AC079742.4	0	0	0	0	1	0
AC083862.1	6	3	0	0	17	5
AC083884.8	1	1	0	0	2	0
AC083899.3	1	0	0	0	2	0
AC084082.3	0	0	0	0	1	0
AC084125.4	0	0	0	0	3	0
AC084809.2	1	0	0	0	1	0
AC087269.1	0	0	0	0	4	0
AC087477.1	0	0	0	1	1	1
AC087645.1	20	3	4	5	43	5
AC090186.1	1	1	0	1	9	6
AC090427.1	1	3	1	2	7	1
AC090616.2	21	15	5	0	46	20
AC091133.1	0	0	0	0	3	0
AC091150.1	0	0	0	2	2	1
AC091801.1	75	13	5	1	154	41
AC092291.2	1	1	0	0	2	1
AC092295.7	2	0	0	0	4	0
AC092299.7	1	0	0	0	1	0
AC092597.3	0	0	0	0	1	0
AC092669.1	1	0	0	0	1	0
AC092675.3	6	3	0	1	34	10
AC092687.4	13	4	2	0	37	13
AC092811.1	18	4	2	0	49	19
AC092850.1	0	0	2	4	6	2
AC092964.1	3	3	0	0	15	4
AC093157.1	15	2	0	0	34	8
AC093391.2	1	0	0	0	1	0
AC093415.2	1	0	0	0	2	0
AC093495.4	1	0	0	0	3	0
AC093616.4	4	0	0	0	5	0
AC093677.1	38	6	1	1	115	53
AC093802.1	6	6	1	1	37	11
AC093838.4	2	1	1	0	9	0
AC096579.13	6	0	0	0	7	0
AC096579.7	0	0	0	0	1	0
AC096582.1	0	2	1	1	4	4
AC096644.1	14	4	4	3	29	5
AC096677.1	0	13	1	1	15	6
AC097381.1	57	15	1	3	76	22
AC097461.4	1	0	0	0	3	0
